Iideal     Itest
7.690000   7.690000  
2.990000   3.362401  
4.770000   4.741247  
8.800000   8.873644  
8.680000   8.662590  
3.880000   3.648416  
1.860000   2.002508  
6.040000   6.366513  
1.730000   1.743376  
7.500000   7.415874  
2.000000   1.591249  
7.740000   8.144705  
3.260000   2.992450  
1.840000   2.112452  
3.560000   3.843179  
3.720000   3.695662  
5.540000   5.353956  
2.510000   2.711269  
1.460000   1.243350  
5.210000   4.738605  
6.160000   6.146660  
1.760000   1.223058  
5.660000   6.071553  
7.810000   7.667023  
7.600000   8.024425  
8.820000   8.784173  
7.270000   7.630416  
8.760000   8.880559  
5.110000   5.557147  
8.050000   7.748235  
8.510000   8.328174  
1.520000   1.507351  
3.080000   3.634802  
6.460000   6.514688  
4.550000   4.681832  
5.050000   5.258413  
3.900000   4.389187  
7.950000   7.607619  
7.410000   8.044980  
8.150000   8.385645  
1.380000   1.240053  
5.430000   5.554462  
3.320000   3.376236  
7.410000   7.798702  
8.400000   8.682668  
8.690000   8.537810  
6.370000   6.542827  
3.110000   3.845797  
6.810000   7.172930  
1.360000   1.552522  
2.780000   2.907787  
5.310000   5.232895  
6.980000   6.977717  
6.670000   6.772373  
3.090000   3.141743  
1.170000   1.365016  
4.080000   3.902604  
7.980000   7.722064  
2.140000   1.779140  
3.380000   3.029894  
4.170000   4.055085  
1.120000   0.932591  
6.460000   6.662018  
2.080000   2.299527  
