Iideal     Itest
6.910000   6.910000  
1.440000   1.842679  
5.910000   5.325273  
2.850000   2.986656  
5.790000   5.604170  
7.520000   7.782830  
5.660000   5.485477  
8.850000   8.348262  
8.550000   8.691258  
3.960000   3.394160  
3.320000   3.563505  
6.860000   6.904673  
1.940000   1.862156  
2.440000   2.448542  
8.490000   7.968194  
1.470000   1.726192  
3.740000   3.490147  
6.310000   6.177135  
1.600000   1.276098  
6.920000   6.398105  
7.610000   7.386524  
4.890000   4.541923  
5.890000   5.707781  
2.310000   2.229246  
3.420000   3.231289  
4.580000   4.252447  
4.490000   4.196476  
7.080000   6.731400  
4.720000   4.315559  
3.240000   2.946930  
4.750000   4.466725  
2.010000   2.009787  
2.030000   1.809608  
7.960000   7.487393  
5.950000   5.577405  
2.480000   2.253087  
7.600000   7.215300  
1.000000   1.074560  
4.310000   4.581773  
2.410000   1.975050  
4.830000   4.560757  
1.270000   1.445658  
6.180000   6.290127  
7.150000   7.186040  
4.660000   4.956606  
6.690000   6.434216  
7.790000   7.648035  
7.930000   7.775976  
7.390000   7.282226  
1.130000   1.071086  
1.530000   1.502114  
7.850000   7.824420  
4.430000   4.032836  
3.320000   3.476349  
8.780000   8.498913  
5.730000   5.495865  
1.510000   1.680006  
8.660000   8.091962  
5.800000   5.796035  
3.510000   3.262320  
7.020000   6.961884  
1.930000   1.450294  
7.450000   6.773541  
1.720000   1.797621  
