Iideal     Itest
6.710000   6.710000  
3.630000   3.691837  
6.220000   5.665883  
3.980000   4.016746  
4.770000   4.805964  
7.480000   7.286172  
3.090000   2.920261  
4.260000   3.813558  
1.310000   1.042534  
4.430000   4.152472  
6.850000   6.787897  
5.570000   5.559183  
5.990000   5.775959  
6.350000   6.051591  
3.350000   3.265611  
4.700000   4.868844  
3.250000   2.881352  
5.820000   5.533243  
8.800000   8.502812  
8.290000   7.873655  
3.070000   3.356911  
4.310000   4.245320  
3.880000   3.607051  
7.050000   7.323229  
2.250000   2.231294  
5.970000   5.703277  
3.870000   3.606675  
7.390000   7.113413  
5.990000   6.016015  
6.280000   5.891447  
2.910000   2.597112  
6.790000   6.663912  
3.420000   3.454728  
4.540000   4.499537  
8.420000   8.009939  
8.280000   7.952470  
6.640000   6.466966  
2.030000   2.016967  
3.350000   3.240976  
4.870000   4.557551  
8.860000   8.438075  
8.040000   7.512641  
5.250000   5.039151  
4.510000   4.249095  
2.290000   2.108305  
8.020000   7.586757  
4.630000   4.469201  
4.320000   4.357137  
2.270000   2.130407  
7.750000   7.706901  
3.730000   3.404077  
8.630000   8.443830  
3.540000   3.500470  
4.900000   5.179952  
2.020000   1.639688  
7.440000   7.236830  
7.780000   7.829015  
8.160000   7.763553  
1.350000   1.480705  
5.740000   5.459664  
6.060000   5.998444  
7.940000   7.429873  
8.260000   8.258494  
2.040000   1.732931  
