Iideal     Itest
5.870000   5.870000  
4.930000   5.300165  
4.060000   3.883756  
5.910000   5.786226  
4.090000   4.062759  
4.030000   3.410108  
2.960000   3.503534  
7.700000   7.584651  
1.600000   1.546839  
3.430000   3.457785  
5.880000   6.048929  
7.260000   7.133044  
5.800000   5.634176  
3.410000   3.373222  
5.630000   5.387765  
5.570000   5.584606  
1.560000   1.948544  
4.450000   3.987368  
8.070000   8.136052  
7.450000   7.220921  
1.420000   1.445460  
2.380000   2.401625  
5.360000   5.346893  
8.480000   8.621121  
7.260000   6.839545  
1.120000   0.933651  
3.430000   3.790492  
5.310000   5.672213  
8.690000   8.577161  
8.410000   8.458780  
2.260000   2.239013  
6.070000   6.015755  
5.540000   5.385115  
5.840000   5.718997  
1.380000   1.714068  
3.290000   3.011401  
3.370000   3.199731  
2.440000   2.035340  
4.800000   4.631112  
1.410000   1.332800  
4.940000   4.878246  
7.670000   7.193668  
1.970000   1.789752  
7.920000   7.365205  
5.520000   5.149034  
2.730000   2.793395  
2.910000   2.491577  
2.990000   2.626513  
7.510000   7.449926  
5.440000   4.954885  
5.940000   6.017233  
8.570000   8.714185  
8.320000   7.977674  
6.330000   6.460564  
2.280000   2.572345  
7.930000   7.910375  
7.300000   7.055334  
2.170000   2.072362  
3.320000   3.719794  
2.720000   2.673313  
5.200000   5.239376  
6.710000   6.533044  
5.130000   4.770240  
6.570000   6.201099  
